页序,词条,繁体异体,拼音,字级,笔画数,释义
001/L-01,吖,,ā,三级,6,［吖嗪］（–qín）有机化合物的一类，呈环状结构，含有一个或几个氮原子，如吡啶、嘧啶等。
001/L-02,阿,,ā,一级,7,〈方〉前缀。❶用在排行、小名或姓前：～大|～根|～王。//❷用在某些亲属称谓前：～妹|～公。//［阿姨］1.称跟母亲年纪差不多的、没有亲属关系的女性。2.对保育员或保姆等的称呼。3.〈方〉姨母。//［阿昌族］我国少数民族，参看附表。//另见116页ē。
001/L-03,呵,,ā,一级,8,同“啊”。//另见1页á；1页ǎ；1页à；2页a；118页hē。
001/L-04,啊,,ā,一级,10,叹词，表示赞叹或惊异：～，这花多好哇！|～，下雪了！另见1页á；1页ǎ；1页à；2页a。
001/L-05,锕,（錒）,ā,二级,12,放射性金属元素，符号Ac，原子序数89。
001/R-01,腌,,ā,二级,12,［腌臜］（–za）〈方〉不干净。//另见557页yān。
001/R-02,呵,,á,一级,8,同“啊”。//另见1页á；1页ǎ；1页à；2页a；118页hē。
001/R-03,啊,,á,一级,10,叹词，表示追问：～，你说什么？|～，你再说！另见ā；ǎ；à；a。
001/R-04,嗄,,á,二级,13,同“啊”。
001/R-05,呵,,ǎ,一级,8,同“啊”。//另见ā；á；à；a；hē。
001/R-06,啊,,ǎ,一级,10,叹词，表示疑惑：～，这是怎么回事？//另见ā；á；à；a。
001/R-07,呵,,à,一级,8,同“啊”。//另见ā；á；ǎ；a；hē。
001/R-08,啊,,à,一级,10,叹词。//1.表示应诺或醒悟（音较短）：～，好吧|～，原来是你呀！//2.表示惊异或赞叹（音较长）：～，伟大的祖国！//另见ā；á；ǎ；a。
002/L-01,呵,,a,一级,8,同“啊”。//另见ā；á；ǎ；à；hē。
002/L-02,啊,,a,一级,10,助词。//1.用在句末，表示赞叹、催促、嘱咐等语气（常因前面字音不同而发生变音，可用不同的字来表示）：快些来～（呀）！|您好～（哇）！|同志们加油干～（哪）！//2.用在列举的事项之后：纸～，笔～，摆满了一桌子。
002/L-03,哎,,āi,一级,8,叹词，表示不满或提醒：～，你怎么能这么说呢！|～，你们看，谁来了！//［哎呀］叹词，表示惊讶等。//［哎哟］（–yō）叹词，表示惊讶、痛苦、惋惜等。
002/L-04,哀,,āi,一级,9,❶悲痛（〖连〗悲–）：喜怒～乐。//❷悼念：默～。//❸怜悯，同情：～怜|～其不幸。
002/L-05,锿,（鎄）,āi,三级,14,人造的放射性金属元素，符号Es，原子序数99。
002/L-06,埃,,āi,一级,10,灰尘（〖连〗尘–）。
002/R-01,挨,,āi,一级,10,❶舞动，摇摆：～刀|～手|大笔一～。//［指挥］1.指导，调度。2.指导、调度的人：工程总～|乐队～。//❷散（sàn）出，甩出：～金如土|～汗如雨|～发。//［挥霍］（–huò）用钱浪费，随便花钱。
002/R-02,唉,,āi,一级,10,叹词。//1.表示答应：～，听见了。//2.表示叹息：～，一天的工夫又白费了。3.表示招呼：～，你来一下。//另见ài。
002/R-03,嗳,,āi,二级,13,同“哎”。//另见ǎi；ài。
002/R-04,挨,（**捱）,ái,一级,10,❶遭受，亲身受到：～饿|～打|～骂。//❷困难地度过（岁月）：～日子。//❸拖延：他～到晚饭后才开始写作业。//另见āi。
002/R-05,𫘤,（騃）,ái,,10,傻：痴～。
002/R-06,皑,（皚）,ái,二级,11,白（叠）：～～白雪。
002/R-07,癌,,ái,一级,17,生物体细胞变成恶性增生细胞所形成的肿瘤：胃～|肝～|肺～|乳腺～。
002/R-08,毐,,ǎi,三级,7,用于人名。嫪毐（lào–），战国时秦国人。
002/R-09,欸,,ǎi,二级,11,［欸乃］拟声词，形容摇橹声：～一声山水绿。//另见ê̄；ế；ê̌；ề。
003/L-01,嗳,（噯）,ǎi,二级,13,叹词，表示否定或不同意：～，别那么说|～，不是这样放。//另见āi；ài。
003/L-02,矮,,ǎi,一级,13,身材短：他比他哥哥～。引1.高度小的：几棵小～树。2.等级、地位低：我比他～一级。
003/L-03,蔼,（藹）,ǎi,一级,14,气，和善：和～|～然可亲。
003/L-04,霭,（靄）,ǎi,二级,19,云气：云～|暮～。
003/L-05,艾,,ài,一级,5,❶草本植物，又叫艾蒿，叶有香味，可制成艾绒，用于灸法治病。//❷止，绝：方兴未～。//❸漂亮，美：少～（年轻漂亮的人，多指女子）。//❹姓。//另见yì。
003/L-06,砹,,ài,二级,10,放射性非金属元素，符号At，原子序数85。
003/L-07,唉,,ài,一级,10,叹词，表示伤感或惋惜：～，病了两个月，把工作都耽搁了。//另见āi。
003/L-08,爱,（愛）,ài,一级,10,❶喜爱，对人或事物有深挚的感情：拥军～民|～祖国|～人民|友～。//❷喜好：～游泳|～干净|～劳动。//❸爱惜，爱护：～集体荣誉。//❹容易（出现某种变化），常常（发生某种行为）：铁～生锈|小王～迟到。
003/R-01,嗳,（噯）,ài,二级,13,叹词，表示否定或不同意：～，别那么说|～，不是这样放。//另见āi；ài。
003/R-02,嫒,（嬡）,ài,二级,13,［令嫒］对对方女儿的敬称。现多作“令爱”。
003/R-03,瑷,（璦）,ài,三级,14,［瑷珲］（–huī）地名，在黑龙江省黑河市。
003/R-04,叆,（靉）,ài,二级,14,［叆叇］（–dài）云彩很厚的样子：乌云～。
003/R-05,暧,（曖）,ài,二级,14,日光昏暗（叠）。//［暧昧］1.态度不明朗。2.行为不光明正大。
003/R-06,𮩝,（餲）,ài,,12,食物经久而变味。
003/R-07,隘,,ài,一级,12,❶险要的地方：要～。//❷狭窄，狭小（〖连〗狭–）：路～林深。
003/R-08,嗌,,ài,二级,13,噎，食物塞住嗓子。//另见yì。
003/R-09,碍,,ài,一级,13,妨害，阻挡：～口（不便说）|～事不～事？|～手～脚。
003/R-10,厂,,ān,一级,2,同“庵”。多用于人名。//另见chǎng。
004/L-01,广,,ān,一级,3,同“庵”。多用于人名。//另见guǎng。
004/L-02,安,,ān,一级,6,❶平静，稳定：～定|～心（心情安定）|～居乐业。//❷使平静，使安定（多指心情）：～神|～民告示。//❸安全，平安，跟“危”相对：～康|治～|转危为～。//❹安置，装设（〖连〗–装）：～排|～营扎寨|～电灯。//❺存着，怀着（多指不好的念头）：你～的什么心？//❻文言代词，哪里：而今～在？|～能如此？//❼〖外〗电流单位名安培的简称，符号A。
004/L-03,垵,,ān,三级,9,用于地名：曾厝～（在福建省厦门）。//另见ǎn。
004/L-04,桉,,ān,二级,10,桉树，常绿乔木，树干高而直，木质坚韧，供建筑用，树皮和叶可入药，枝叶可提制桉油。
004/L-05,氨,,ān,一级,10,无机化合物，气体，无色而有恶臭。可用来制硝酸、肥料和炸药。
004/L-06,𩽾,（鮟）,ān,三级,14,［𩽾𩾌］（–kāng）鱼名，俗称老头儿鱼，身体前半部平扁，圆盘形，尾部细小，全身无鳞，能发出像老人咳嗽的声音，生活在深海。
004/R-01,鞍,（△*鞌）,ān,一级,15,（–子）放在骡马等背上承载重物或供人骑坐的器具。
004/R-02,鞌,,ān,,15,❶见“鞍”。//❷用于古地名：～之战。
004/R-03,庵,（*菴）,ān,一级,11,❶圆形草屋：结草为～。//❷小庙（多指尼姑居住的）：～堂。
004/R-04,鹌,（鵪）,ān,二级,13,鹌鹑］（–chun）鸟名，头小尾短，羽毛赤褐色，杂有暗黄色条纹，雄的好斗。
004/R-05,谙,（諳）,ān,二级,11,熟悉：不～水性。//［谙练］熟习，有经验。
004/R-06,盦,,ān,三级,16,❶古代一种器皿。//❷同“庵”。多用于人名。
004/R-07,玵,,án,,9,美玉。
004/R-08,垵,,ǎn,三级,9,同“埯”。
004/R-09,铵,（銨）,ǎn,二级,11,铵根，从氨衍生所得的带正电荷的根，在化合物中的地位相当于金属离子。
004/R-10,俺,,ǎn,一级,10,〈方〉代词，我，我们：～村|～们|～那里出棉花。
004/R-11,埯,,ǎn,二级,11,❶点播种子挖的小坑。//❷挖小坑点种：～瓜|～豆。//❸（–儿）量词，用于点种的植物：一～儿花生。
005/L-01,唵,,ǎn,二级,11,❶把食物放在手里吞食：～了几口炒米。//❷佛教咒语的发声词。
005/L-02,揞,,ǎn,,12,用手指把药粉等按在伤口上。
005/L-03,犴,,àn,三级,6,见“狴”字条“狴犴”（bì–）。//另见hān。
005/L-04,岸,（*㟁）,àn,一级,8,❶江、河、湖、海等水边的陆地：河～|船靠～了。//❷高大：伟～。
005/L-05,按,,àn,一级,9,❶用手压或摁（èn）：～脉|～电铃|～摩。//❷止住，压住：～兵不动|～下此事先不表。//❸介词，依照：～理说你应该去|～人数算|～部就班（依照程序办事）|～图索骥（比喻办事拘泥，也指根据线索去寻求）。//❹经过考核研究后下论断：～语|编者～。
005/L-06,胺,,àn,二级,10,有机化合物，是氨的氢原子被烃（tīng）基取代而成的。
005/L-07,案,,àn,一级,10,❶长形的桌子。//❷机关或团体中记事的案卷：备～|有～可查。//❸提出计划、办法等的文件：提～|议～。//❹事件：五卅惨～。特指涉及法律问题的事件：～情|犯～|破～。//❺古时候端饭用的木盘：举～齐眉（形容夫妇互相敬重）。//❻旧同“按❹”。
005/R-01,暗,（*晻、①④*闇）,àn,一级,13,❶不亮，光线微弱，跟“明”相对：～中摸索|这间屋子太～。//［暗淡］昏暗，不光明：光线～|前途～。//❷（颜色）浓重，不鲜亮：～红|～绿。//❸不公开的，隐藏不露的，跟“明”相对：～号|～杀|心中～喜。//❹愚昧，糊涂：明于知彼，～于知己。
005/R-02,黯,,àn,一级,21,昏黑。//［黯然］昏暗的样子。〖喻〗心神沮丧：～泪下。
005/R-03,肮,（骯）,āng,一级,8,［肮脏］（–zāng）不干净。引卑鄙丑陋：～的灵魂。
005/R-04,卬,,áng,三级,4,❶文言代词，我。//❷古同“昂”。//❸姓。//另见yǎng。
005/R-05,昂,,áng,一级,8,❶仰，高抬：～首挺胸。//❷高，贵：～贵|价～。//❸情绪高（叠）：～扬|激～|气～～。
005/R-06,盎,,àng,二级,10,❶古代的一种盆，腹大口小。//❷盛（shèng）：春意～然|兴味～然。
006/L-01,凹,,āo,一级,5,洼下，跟“凸”相对：～透镜|～凸不平。
006/L-02,熬,,āo,一级,14,煮：～菜。//另见áo。
006/L-03,爊,（**𤏶）,āo,,19,❶放在微火上煨熟。//❷同“熬”。
006/L-04,敖,,áo,二级,10,❶古同“遨”。//❷姓。
006/L-05,嶅,,áo,三级,13,嶅山，山名，一在山东省新泰，一在广东省东北部。//［嶅阴］地名，在山东省新泰。
006/L-06,遨,,áo,二级,13,遨游，游逛。
006/L-07,嗷,,áo,二级,13,拟声词，形容嘈杂声、喊叫声（叠）：～～待哺。
006/L-08,廒,（**厫）,áo,三级,13,储藏粮食的仓房：仓～。
006/L-09,璈,,áo,二级,14,古代的一种乐器。
006/L-10,獒,,áo,二级,14,一种狗，身体大，凶猛善斗，能帮助人打猎。
006/L-11,熬,,áo,一级,14,❶久煮：～粥|～药。//❷忍受，耐苦支撑：～夜|～红了眼睛。//另见āo。
006/R-01,聱,,áo,二级,16,话不顺耳。//［聱牙］文句念着不顺口：佶屈～。
006/R-02,螯,,áo,二级,16,螃蟹等甲壳动物变形的第一对脚，形状像钳子，能开合，用来取食、自卫。
006/R-03,謷,,áo,,17,诋毁：訾（zǐ）～。
006/R-04,鳌,（鰲、*鼇）,áo,二级,18,传说中海里的大鳖。
006/R-05,翱,（*翺）,áo,二级,16,［翱翔］（–xiáng）展开翅膀回旋地飞：雄鹰在天空～。
006/R-06,鏖,,áo,二级,19,激烈地战斗：～战|赤壁～兵。
006/R-07,拗,（*抝）,ǎo,一级,8,〈方〉弯曲使断，折：竹竿～断了。//另见ào；niù。
006/R-08,袄,（襖）,ǎo,一级,9,有衬里的上衣：夹～|棉～|皮～。
006/R-09,媪,,ǎo,二级,12,年老的妇人。
006/R-10,岙,（**嶴）,ào,三级,7,浙江、福建等沿海一带把山间平地叫“岙”。
006/R-11,垇,,ào,,8,同“坳”。多用于地名：黄～（在江西省井冈山市）。
006/R-12,坳,,ào,二级,8,山间平地：山～。
007/L-01,拗,（*抝）,ào,一级,8,不顺，不顺从：～口|违～。//另见ǎo；niù。
007/L-02,奡,,ào,三级,12,❶古同“傲”。//❷矫健：排～（文章有力）。//❸用于地名：～村（在河南省延津）。
007/L-03,傲,,ào,一级,12,❶自高自大（〖连〗骄–）：～慢|高～。//❷藐视，不屈：红梅～霜雪。
007/L-04,骜,（驁）,ào,二级,13,❶快马。//❷马不驯良。〖喻〗傲慢，不驯顺：桀～不驯。
007/L-05,鏊,,ào,二级,18,一种铁制的烙饼的炊具，平面圆形，中间稍凸。
007/L-06,奥,,ào,一级,12,含义深，不容易懂：深～|～妙。
007/L-07,薁,,ào,三级,15,有机化合物，与萘（nài）的成分相同，结构不同，青蓝色，有特殊气味，用作药物。//另见yù。
007/L-08,澳,,ào,一级,15,❶海边弯曲可以停船的地方。//❷指澳门：港～（香港和澳门）同胞。//❸指澳大利亚。
007/L-09,懊,,ào,一级,15,烦恼，悔恨：～悔。//［懊丧］（–sàng）因失意而郁闷不乐。
007/L-10,鿫,,ào,,16,人造的放射性元素，符号Og，原子序数118。
007/R-01,八,,bā,一级,2,七加一后所得的数目。
007/R-02,扒,,bā,一级,5,❶抓住，把着：～着栏杆|～着树枝。//❷刨开，挖：～土|城墙～了个豁口。//［扒拉］（–la）拨动：～算盘|～开众人。//❸剥，脱：～皮|～下衣裳。//另见pá。
007/R-03,叭,,bā,一级,5,拟声词，形容物体的断裂声、枪声等：～的一声，弦断了|～，～，两声枪响。
007/R-04,朳,,bā,三级,6,无齿的耙子。
007/R-05,巴,,bā,一级,4,❶黏结着的东西：锅～。//❷〈方〉粘住，依附在别的东西上：饭～锅了|爬山虎～在墙上。//❸〈方〉贴近：前不～村，后不～店。//［巴结］（–jie）奉承，谄媚。//❹巴望，盼，期望：～不得马上到家。//❺古国名，在今四川省东部和重庆市一带。//❻（ba）后缀。1.用在名词性成分后：尾～。2.用在动词性成分后：眨～眼|试～试～。3.用在形容词性成分后：干～|皱～。//❼〖外〗巴士：大～|中～。//❽〖外〗压强的非法定计量单位，符号bar，1巴合105帕。
008/L-01,芭,,bā,一级,9,［芭蕉］（–jiāo）草本植物，叶宽大。果实也叫芭蕉，跟香蕉相似，可以吃。
008/L-02,夿,,bā,,7,见“奤”字条“奤夿屯”（hǎ––）。
008/L-03,吧,,bā,一级,7,❶同“叭”。//［吧嗒］（–dā）拟声词，形容物体轻微撞击声、液体滴落声等。//［吧唧］（–jī）拟声词，形容嘴唇开合声、脚踩泥水声等。//❷〖外〗具备特定功能或设施的休闲场所：酒～|网～|氧～|～台。//另见ba。
008/L-04,岜,,bā,三级,7,（壮）石山。//［岜关岭］地名，在广西壮族自治区扶绥。
008/L-05,疤,,bā,一级,9,❶疤瘌（la），伤口或疮平复以后留下的痕迹：疮～|伤～|伤口结～了。//❷器物上像疤的痕迹。
008/L-06,蚆,,bā,三级,10,蚆蛸（shāo）岛，岛名，在辽宁省长海县。
008/L-07,笆,,bā,二级,10,用竹子、柳条等编成的片状物：竹篾～|～篓|荆～|篱～。
008/L-08,羓,,bā,三级,10,❶干肉，泛指干制食品。//❷一种品种好的羊。
008/L-09,粑,,bā,二级,10,〈方〉饼类食物（叠）：玉米～～。
008/R-01,鲃,,bā,三级,12,鱼名，身体侧扁或略呈圆筒形，生活在淡水中。
008/R-02,捌,,bā,一级,10,“八”字的大写。
008/R-03,拔,,bá,一级,8,❶抽，拉出，连根拽（zhuài）出：～草|～牙|一毛不～（形容吝啬）|不能自～。引夺取军事上的据点：连～数城|～去敌人的据点。//❷吸出：～毒|～火罐。//❸挑选，提升：选～。//［提拔］挑选人员使担任更高的职务。//❹超出：海～（地面超出海平面的高度）。
008/R-04,茇,,bá,,8,草根。
008/R-05,妭,,bá,三级,8,美妇。
008/R-06,胈,,bá,三级,9,大腿上的毛。
008/R-07,菝,,bá,三级,11,菝葜］（–qiā）藤本植物，叶卵圆形，茎有刺，花黄绿色，浆果红色。根状茎可入药。
008/R-08,跋,,bá,一级,12,❶翻过山岭：～山涉水。//［跋涉］爬山蹚水，形容行路辛苦：长途～。//❷写在文章、书籍等后面的短文，多是评介内容的：～文。//［跋扈］（–hù）骄傲而专横。
008/R-09,魃,,bá,二级,14,传说中造成旱灾的鬼怪：旱～。
009/L-01,鼥,,bá,,18,见“鼧”字条“鼧鼥”（tuó–）。
009/L-02,把,,bǎ,一级,7,❶拿，抓住：～盏|两手～住门。//❷控制，掌握：～舵|～犁。//［把持］专权，一手独揽，不让他人参与：～财权。//［把握］1.掌握，控制，有效地处理：～时机。2.事情成功的可靠性：这次试验，他很有～。//❸把守，看守：～门|～风（守候，防有人来）。//❹手推车、自行车等的柄：车～。//❺（–儿）可以用手拿的小捆：草～儿。//❻介词，表示后边的名词所指的人或物是处置的对象：～一生献给党|～衣服洗干净了。//❼量词。1.用于有柄的东西：一～刀|一～扇子。2.用于可以一手抓的东西：一～粮食一～汗。3.用于某些抽象的事物：一～年纪|努～力。//❽助词，放在量词或“百、千、万”等数词的后面，表示约略估计：丈～高的树|个～月以前|有百～人。//❾指拜把子（结为异姓兄弟）的关系：～兄。//［把式］（–shi）也作“把势”。1.武术：练～。2.专精一种技术的人：车～（赶车的）。//［把戏］魔术、杂耍一类的技艺。〖喻〗手段，诡计：你又想玩什么～？//另见bà。
009/R-01,钯,,bǎ,二级,9,金属元素，符号Pd，原子序数46。银白色，能吸收大量的氢，可用来制催化剂。它的合金可制电器、仪表等。//另见pá。
009/R-02,靶,,bǎ,一级,13,（–子）练习射击用的目标：打～|～心。
009/R-03,坝,（③垻、壩）,bà,一级,7,❶截住河流的建筑物：拦河～。//❷河工险要处巩固堤防的建筑物。//❸（–子）〈方〉平地。常用于西南各省市地名。
009/R-04,把,（**欛）,bà,一级,7,（–儿）物体上便于手拿的部分，柄：刀～儿|茶壶～儿。//［话把儿］被人作为谈笑资料的言论或行为。//另见bǎ。
009/R-05,爸,,bà,一级,8,称呼父亲（叠）。
009/R-06,耙,（**䎱）,bà,一级,10,❶用来把土块弄碎、弄平的农具：钉齿～|圆盘～。//❷用耙弄碎土块：地已经～过了。//另见pá。
009/R-07,𫜨,（䶕）,bà,,12,〈方〉牙齿外露：～牙。
009/R-08,罢,（罷）,bà,一级,10,❶停，歇（〖连〗–休）：～工|～手|欲～不能。//❷免去（官职）（〖连〗–免）：～官|～职。//❸完毕：吃～饭。//〈古〉又同“疲”（pí）。//另见ba。
010/L-01,鲅,（鮁）,bà,二级,13,鱼名，即马鲛，身体侧扁而长，性凶猛，生活在海洋里。
010/L-02,鲌,（鮊）,bà,三级,13,同“鲅”。//另见bó。
010/L-03,霸,（*覇）,bà,一级,21,❶依靠权势横行无忌，迫害他人的人：他过去是码头上的一～。引以武力或经济力量侵略、压迫别国，扩大自己势力的国家。//［霸道］1.蛮横（hèng）：横行～。2.（–dao）猛烈的，厉害的：这药够～的。//❷强占：～占|～住不让。//❸古代诸侯联盟的首领：春秋五～。
010/L-04,灞,,Bà,二级,24,灞河，水名，在陕西省西安。
010/L-05,吧,,ba,一级,7,助词，用在句末或句中。旧也作“罢”。//1.表示可以，允许：好～，就这么办～。//2.表示推测，估量：今天不会下雨～？//3.表示命令，请求：快出去～！|还是你去～！//4.用于停顿处：说～，不好意思；不说～，问题又不能解决。//另见bā。
010/L-06,罢,（罷）,ba,一级,10,旧同“吧”。//另见bà。
010/R-01,㓦,,bāi,,8,［㓦划］（–hua）〈方〉1.处置，安排：这件事让他～吧。2.修理，整治：这孩子把闹钟～坏了。
010/R-02,掰,,bāi,一级,12,用手把东西分开或折断：～月饼|～老玉米|把这个蛤蜊～开。
010/R-03,擘,,bāi,二级,17,旧同“掰”。//另见bò。
010/R-04,白,,bái,一级,5,❶像雪或乳汁的颜色，跟“黑”相对：～面|他头发～了。转1.有关丧事的：办～事。2.反动的：～军|～匪。//［白领］一般指从事脑力劳动的管理人员、技术人员、政府公务人员等。//❷清楚（〖连〗明–）：真相大～|蒙受不～之冤。//❸亮：东方发～。//❹空空的，没有加上其他东西的：～卷（juàn）|～水|～地（没有庄稼的地）。引副词。1.没有效果地：这话算～说|烈士们的鲜血没有～流。2.不付代价地：～给|～饶|～吃。//❺陈述，说明：自～|表～|道～（戏曲中不用唱的语句）。//［白话］在口语基础上形成的汉语书面语，跟“文言”相对。//❻指字形或字音有错：写～了|念～了。//［白字］别字。//［白族］我国少数民族，参看附表。
011/L-01,拜,,bái,一级,9,［拜拜］〖外〗再见。引结束某种关系。//另见bài。
011/L-02,百,,bǎi,一级,6,❶数目，十个十。引表示众多或所有的：～花齐放，～家争鸣|～战～胜。//［百姓］人民。//❷法定计量单位中十进倍数单位词头之一，表示102，符号h。
011/L-03,佰,,bǎi,二级,8,“百”字的大写。
011/L-04,伯,,bǎi,一级,7,［大伯子］（––zi）丈夫的哥哥。//另见bó。
011/L-05,柏,,bǎi,一级,9,❶常绿乔木，有侧柏、圆柏、罗汉柏等多种。木质坚硬，纹理致密，可供建筑或制器物用。//❷姓。//另见bó；bò。
011/L-06,捭,,bǎi,二级,11,分开：～阖（hé）（开合）。
011/L-07,摆,（擺、⑤襬）,bǎi,一级,13,❶陈列，安放：把东西～整齐。引故意显示：～阔|～架子。//［摆布］任意支配：受人～。//❷陈述，列举：～事实，讲道理。//❸来回地摇动：～手|摇头～尾|大摇大～。//［摆渡］1.用船运载过河。2.过河用的船。//［摆脱］挣脱，甩开：～贫困。//❹钟表等用于控制摆动频率的装置：钟～。//❺衣裙的下边：下～。（图见“上衣”）
011/R-01,呗,（唄）,bài,二级,7,［梵呗］（fàn–）佛教徒念经的声音。//另见bei。
011/R-02,败,（敗）,bài,一级,8,❶输，失利，跟“胜”相对：一～涂地|敌军～了。//❷打败，使失败：人民军队大～侵略军。//❸做事没有达到目的，不成功，跟“成”相对：功～垂成。//❹败坏，毁坏：～血症|身～名裂。//❺解除，消散：～火|～毒。//❻衰落，使衰落：花开～了|～兴（xìng）（情绪低落）|～家子儿。
011/R-03,拜,,bài,一级,9,❶表示敬意的礼节：对～|叩～|跪～。引恭敬地：～托|～访|～望|～请。//［礼拜］宗教徒对神敬礼或祷告。转周、星期的别称。//❷行礼祝贺：～年|～寿。//❸用一定的礼节授予某种名义或结成某种关系：～将（jiàng）|～师。//另见bái。
011/R-04,稗,（*粺）,bài,二级,13,（–子）草本植物，长在稻田里或低湿的地方，叶像稻叶，是稻田的害草。〖喻〗微小的，琐碎的：～史（记载逸闻琐事的书）。
012/L-01,𫖔,（韛）,bài,,14,〈方〉风箱：风～|～拐子（风箱的拉手）。
012/L-02,㗑,,bai,,12,助词，用法相当于“呗”（bei）。
012/L-03,扳,,bān,一级,7,❶把一端固定的东西往下或往里拉，使改变方向：～枪栓|～着指头算。//❷把输了的赢回来：～回一局。
012/L-04,攽,,bān,三级,8,分给，发给。
012/L-05,颁,（頒）,bān,一级,10,发下（〖连〗–发）：～布|～证|～奖。
012/L-06,班,,bān,一级,10,❶工作或学习的组织：机修～|学习～。//❷工作按时间分成的段落，也指工作或学习的场所：排～|上～|下～|值～。//❸定时开行的：～车|～机。//❹军队编制中的基层单位，在排以下。//❺量词。1.用于人群：这～年轻人真有力气。2.用于定时开行的交通运输工具：我搭下一～飞机走。//❻调回或调动（军队）：～师|～兵。
012/R-01,斑,,bān,一级,12,一种颜色中夹杂的别种颜色的点子或条纹（〖连〗–驳）：～马|～竹|～白（花白）|雀～。//［斑斓］（–lán）灿烂多彩：色彩～。
012/R-02,癍,,bān,二级,14,皮肤上生斑点的病。
012/R-03,般,,bān,一级,10,❶样，种类：如此这～|百～照顾|兄弟～的友谊。//［一般］1.同样：我们两个人～高。2.普通，普遍：～的读物|～人的意见。//❷古同“搬”。
012/R-04,搬,,bān,一级,13,移动，迁移：把这块石头～开|～家。
012/R-05,瘢,,bān,二级,15,疤，伤口或疮平复以后留下的痕迹：～痕。
012/R-06,𨭉,,bān,三级,20,文武全才。
012/R-07,阪,,bǎn,二级,6,❶见“坂”。//❷用于地名：大～（在日本）。
012/R-08,坂,（△*阪、*岅）,bǎn,二级,7,山坡，斜坡：～上走丸（形容迅速）。
012/R-09,板,（⑤闆）,bǎn,一级,8,❶（–子、–儿）成片的较硬的物体：～材|铁～|玻璃～|黑～。//❷演奏民族音乐或戏曲时打节拍的乐器：檀～。引歌唱的节奏：一～三眼|荒腔走～。//［板眼］民族音乐或戏曲中的节拍。〖喻〗做事的条理。//❸不灵活，少变化：表情太～。//❹露出严肃或不高兴的表情：～起面孔。//❺［老板］1.私营工商业的业主。2.过去对著名戏曲演员的尊称。
013/L-01,昄,,bǎn,三级,8,用于地名：～大（在江西省德兴）。
013/L-02,版,,bǎn,一级,8,❶用木板或金属等制成供印刷用的东西，上面有文字或图形：木～书|活字～。引底版，相片的底片：修～。//❷印刷物排印的次数：第一～|再～。//［出版］书籍报刊等编印发行。//❸报纸的一面叫一版：头～头条新闻。//❹打土墙用的夹板：～筑。//❺户籍。//［版图］户籍和地图。转国家的疆域。
013/L-03,钣,（鈑）,bǎn,二级,9,金属板材：铅～|钢～。
013/L-04,舨,,bǎn,,10,见“舢”字条“舢板”（shān–）。
013/L-05,办,（辦）,bàn,一级,4,❶处理：～公|～事|好，就这么～。引处分，惩治：重（zhòng）～|首恶者必～。//❷创设：～工厂。//❸置备：～货|～酒席。
013/L-06,半,,bàn,一级,5,❶二分之一：十个的一～是五个|～米布|一吨～|分给他一～。//❷在中间：～夜|～途而废。//❸不完全的：～透明|～脱产。
013/R-01,伴,,bàn,一级,7,❶（–儿）同在一起生活或活动的人（〖连〗–侣）：同～|老～儿|找个～儿学习。//❷陪着，伴随：～游|～奏。
013/R-02,拌,,bàn,一级,8,用工具或手在混合物中反复翻动，使均匀：搅～|～饺子馅儿|～草喂牛。
013/R-03,绊,（絆）,bàn,一级,8,行走时被别的东西挡住或缠住：～马索|一不留神被石头～倒了。//［羁绊］（jī–）束缚：挣脱封建礼教的～。
013/R-04,柈,,bàn,二级,8,用工具或手在混合物中反复翻动，使均匀：搅～|～饺子馅儿|～草喂牛。
013/R-05,靽,,bàn,三级,14,驾车时套在牲口后部的皮带。
013/R-06,扮,,bàn,一级,7,化装成（某种人或物）（〖连〗装–）：～老头儿|～演（化装成某种人或物出场表演）。//［打扮］1.化装，装饰：～得很漂亮。2.衣着（zhuó）穿戴。
013/R-07,湴,,bàn,三级,11,〈方〉烂泥。
013/R-08,瓣,,bàn,一级,19,❶（–儿）花瓣，组成花冠的各片：梅花五～。//❷（–儿）植物的种子、果实或球茎可以分开的小块儿：豆～儿|蒜～儿|橘子～儿。//❸（–儿）量词，用于自然分开或破碎后分成的部分等：一～蒜|杯子摔成了好几～儿。
014/L-01,邦,（**邦）,bāng,一级,6,国：友～|盟～。//［邦交］国与国之间的正式外交关系：建立～。
014/L-02,帮,（幫、*幇、*幚）,bāng,一级,9,❶辅助（〖连〗–助）：～忙|～手|～凶|我～你做。//❷集团，帮会：匪～|青红～。//❸（–子、–儿）旁边或周围的部分：船～|鞋～儿|白菜～子。//❹量词，群，伙：大～人马。
014/L-03,𠳐,,bāng,二级,9,拟声词，形容敲打木头等的声音：～～的敲门声。
014/L-04,梆,,bāng,一级,10,❶梆子，打更用的响器，用竹或木制成。又指戏曲里打拍子用的两根短小的木棍，是梆子腔的主要乐器。//［梆子腔］戏曲的一种，敲梆子加强节奏。简称“梆子”。有陕西梆子、河南梆子、河北梆子等。//❷同“”。
014/L-05,浜,,bāng,二级,10,〈方〉小河沟。
014/L-06,绑,（綁）,bǎng,一级,9,捆，缚（〖连〗捆–）：把两根棍子～在一起。
014/L-07,榜,（*牓）,bǎng,一级,14,张贴出来的文告或名单：张～招贤|光荣～。//［榜样］样子，行动的模范：雷锋是我们学习的～。
