页序,词条,繁体异体,拼音,字级,笔画数,释义
589/L-04,尤,,yóu,一级,4,❶特异的，突出的：拔其～。//❷副词，尤其，更，格外：～甚|～妙。//❸过失：勿效～（不要学着做坏事）。//❹怨恨，归咎：怨天～人。
589/L-05,犹,（猶）,yóu,一级,7,❶如同（〖连〗–如）：虽死～生|过～不及。//❷副词，还（hái），尚且：记忆～新|困兽～斗。//［犹豫］（–yù）迟疑不决。
589/L-06,疣,（**肬）,yóu,二级,9,皮肤病，俗叫瘊子，症状是皮肤上出现黄褐色的小疙瘩，不痛不痒。//［赘疣］比喻多余而无用的东西。
589/R-01,莸,（蕕）,yóu,二级,10,❶古书上说的一种有臭味的草：薰～不同器（比喻好人和坏人不能共处）。//❷落叶小灌木，花蓝色，供观赏。
589/R-02,鱿,（魷）,yóu,二级,12,鱿鱼，软体动物，又叫枪乌贼，头像乌贼，尾端呈菱形，身体白色，有淡褐色斑点，生活在海洋里。
589/R-03,由,,yóu,一级,5,❶经过：必～之路|观其所～。//❷原因（〖连〗原–）：情～|理～。//❸顺随，听从：～着性子|～不得自己。//❹介词。1.自，从：～哪儿来？|～上到下|～浅入深。2.凭借：～此可知。3.归（某人去做）：这事～你安排。//［由于］1.介词，表示原因：这项任务～大家的努力才圆满完成了。2.连词，跟“所以”“因而”等呼应，表示因果关系：～天气炎热，因而用电量猛增。
589/R-04,邮,（郵）,yóu,一级,7,❶邮递，由国家专设的机构传递信件：～信。//❷有关邮务的：～票|～费|～局。
589/R-05,油,,yóu,一级,8,❶动植物体内所含的脂肪物质：猪～|花生～。//❷各种碳氢化合物的混合物，一般不溶于水，容易燃烧：煤～|汽～|石～。//❸用油涂抹：用桐油一～就好了。//❹被油弄脏：衣服～了一大片。//❺狡猾（〖连〗–滑）：～腔滑调|这个人太～。//［油然］1.充盛地：天～作云，沛然下雨。2.（思想感情）自然而然地产生：敬慕之情～而生。
590/L-01,柚,,yóu,二级,9,［柚木］落叶乔木，叶大，花白色。木质坚硬耐久，可用来造船、车等。//另见yòu。
590/L-02,铀,（鈾）,yóu,二级,10,放射性金属元素，符号U，原子序数92。银白色，质硬。可用作核燃料。
590/L-03,蚰,,yóu,二级,11,［蚰蜒］节肢动物，像蜈蚣而略小，足细长，触角长，多生活在阴湿的地方。
590/L-04,鲉,（鮋）,yóu,三级,13,鱼名，身体侧扁，头部有许多棘状突起，生活在近海。
590/L-05,莜,,yóu,二级,10,［莜麦］谷类作物，叶细长，花绿色。籽实可以吃，茎、叶可用作牧草。也作“油麦”。
590/L-06,浟,,yóu,三级,10,❶［浟浟］水流动的样子。//❷姓。
590/L-07,游,（②④⑤*遊）,yóu,一级,12,❶人或动物在水里行动（〖连〗–泳）：～水|～鱼可数（shǔ）。//❷不固定：～资|～牧|～击战。//［游移］主意摇摆不定。//❸河流的一段：上～|下～。//❹游逛，观赏：～玩|～人|～园|旅～|春～。//❺交游，交往。
590/R-01,蝣,,yóu,二级,15,见“蜉”字条“蜉蝣”（fú–）。
590/R-02,𬨎,（輶）,yóu,三级,13,❶古代一种轻便的车。//❷轻。
590/R-03,猷,,yóu,二级,13,计谋，打算：鸿～（宏伟的计划）。
590/R-04,蝤,,yóu,三级,15,［蝤蛑］（–móu）一种螃蟹，又叫梭子蟹，甲壳略呈梭形，生活在浅海里。//另见qiú。
590/R-05,繇,,yóu,二级,17,古同“由❹1.2.”。//另见yáo；zhòu。
590/R-06,㘥,,yóu,,20,［㘥子］捕鸟时用来引诱同类鸟的鸟：鸟～。也作“游子”。
590/R-07,友,,yǒu,一级,4,❶朋友：好～|战～|网～。引有友好关系的：～军|～邦。//❷相好，互相亲近：～爱|～好往来。
